fp_number,cohort_label,plot_area_sqm,frontage_m,depth_m,shape_class,envelope_status,placement_status,compliance_status,fallback_road_used,error,taxonomy_code,failed_stage,root_cause_hypothesis,algorithm_gap_signal
3,small_regular,18.87,4.787,3.962,IRREGULAR,COLLAPSED,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 3 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",ENVELOPE_COLLAPSE_ROAD_SETBACK,Envelope,Primarily regulatory infeasibility; amplified by road-edge fallback risk,MIXED
17,thin_high_aspect,138.11,23.533,6.297,IRREGULAR,COLLAPSED,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 3 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",ENVELOPE_COLLAPSE_ROAD_SETBACK,Envelope,Primarily regulatory infeasibility; amplified by road-edge fallback risk,MIXED
18,small_regular,47.19,9.383,5.7,IRREGULAR,COLLAPSED,,,Y,"Envelope collapsed after applying 3.00 m (9.8425 DXF ft) margin on edge 2 (REAR, GDCR Table 6.26). The plot is too narrow to accommodate the required setback.",ENVELOPE_COLLAPSE_SIDE_REAR_SETBACK,Envelope,Likely regulatory infeasibility for thin/irregular geometry,LIKELY_NO
21,irregular_mid,210.27,22.79,9.898,IRREGULAR,VALID,NO_FIT,,Y,Placement failed,PLACEMENT_NO_FIT_ON_VALID_ENVELOPE,Placement,Footprint/core constraints fail despite non-empty envelope,YES
23,large_thin,1127.33,50.926,23.698,IRREGULAR,VALID,VALID,COMPLIANT,Y,,PIPELINE_PASS,Pass,No immediate gap on baseline path,NO
29,medium_regular,111.55,12.473,9.637,IRREGULAR,TOO_SMALL,,,Y,Resulting envelope area 120.4 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,Envelope,Setback-compliant residual envelope below buildable threshold,MIXED
31,medium_regular,76.34,9.884,7.859,IRREGULAR,TOO_SMALL,,,Y,Resulting envelope area 10.6 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,Envelope,Setback-compliant residual envelope below buildable threshold,MIXED
34,irregular_large,1516.38,38.905,52.393,IRREGULAR,TOO_SMALL,,,Y,Resulting envelope area 54.1 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,Envelope,Setback-compliant residual envelope below buildable threshold,MIXED
48,irregular_mid,221.13,26.37,8.349,IRREGULAR,TOO_SMALL,,,Y,Resulting envelope area 96.1 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,Envelope,Setback-compliant residual envelope below buildable threshold,MIXED
54,thin_high_aspect,161.26,20.093,8.038,RECTANGULAR,TOO_SMALL,,,Y,Resulting envelope area 80.8 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,Envelope,Setback-compliant residual envelope below buildable threshold,MIXED
55,thin_high_aspect,161.35,20.131,8.023,RECTANGULAR,TOO_SMALL,,,Y,Resulting envelope area 79.4 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,Envelope,Setback-compliant residual envelope below buildable threshold,MIXED
84,thin_high_aspect,322.63,31.573,10.222,IRREGULAR,VALID,NO_FIT,,Y,Placement failed,PLACEMENT_NO_FIT_ON_VALID_ENVELOPE,Placement,Footprint/core constraints fail despite non-empty envelope,YES
90,small_regular,17.29,4.728,3.716,IRREGULAR,COLLAPSED,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 0 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",ENVELOPE_COLLAPSE_ROAD_SETBACK,Envelope,Primarily regulatory infeasibility; amplified by road-edge fallback risk,MIXED
107,large_regular,1090.11,36.771,29.009,IRREGULAR,VALID,VALID,COMPLIANT,Y,,PIPELINE_PASS,Pass,No immediate gap on baseline path,NO
127,large_irregular,2418.08,60.791,46.09,IRREGULAR,VALID,VALID,COMPLIANT,Y,,PIPELINE_PASS,Pass,No immediate gap on baseline path,NO
132,large_irregular,1493.26,61.297,24.355,IRREGULAR,VALID,VALID,COMPLIANT,Y,,PIPELINE_PASS,Pass,No immediate gap on baseline path,NO
133,large_road_sensitive,3678.53,59.076,59.445,IRREGULAR,VALID,VALID,COMPLIANT,Y,,PIPELINE_PASS,Pass,No immediate gap on baseline path,NO
152,irregular_mid,620.66,43.923,24.988,IRREGULAR,VALID,VALID,COMPLIANT,Y,,PIPELINE_PASS,Pass,No immediate gap on baseline path,NO
169,medium_regular,81.85,10.444,8.432,IRREGULAR,TOO_SMALL,,,Y,Resulting envelope area 0.0 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,Envelope,Setback-compliant residual envelope below buildable threshold,MIXED
171,small_irregular,52.09,7.882,6.711,IRREGULAR,COLLAPSED,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 4 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",ENVELOPE_COLLAPSE_ROAD_SETBACK,Envelope,Primarily regulatory infeasibility; amplified by road-edge fallback risk,MIXED
173,large_thin,919.49,36.254,18.003,IRREGULAR,COLLAPSED,,,Y,"Envelope collapsed after applying 3.00 m (9.8425 DXF ft) margin on edge 2 (SIDE, GDCR Table 6.26). The plot is too narrow to accommodate the required setback.",ENVELOPE_COLLAPSE_SIDE_REAR_SETBACK,Envelope,Likely regulatory infeasibility for thin/irregular geometry,LIKELY_NO
176,medium_thin,114.37,20.295,6.029,IRREGULAR,COLLAPSED,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 7 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",ENVELOPE_COLLAPSE_ROAD_SETBACK,Envelope,Primarily regulatory infeasibility; amplified by road-edge fallback risk,MIXED
178,irregular_extreme,158.62,30.38,5.635,IRREGULAR,COLLAPSED,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 5 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",ENVELOPE_COLLAPSE_ROAD_SETBACK,Envelope,Primarily regulatory infeasibility; amplified by road-edge fallback risk,MIXED
181,irregular_extreme,392.86,37.882,8.914,IRREGULAR,COLLAPSED,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 5 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback.",ENVELOPE_COLLAPSE_ROAD_SETBACK,Envelope,Primarily regulatory infeasibility; amplified by road-edge fallback risk,MIXED
